Threads,MinTime(s),FuncCalls
1,18.224530, 500000000
2,15.629930, 266006696
3,14.619640, 174127765
4,14.883483, 129016515
5,15.239827, 105324444
6,15.450897, 87288960
7,14.175577, 93549261
8,13.763730, 83580894
9,13.238468, 80621301
10,12.662078, 76081819
11,11.826128, 70046625
12,11.096963, 70456348
