Threads,MinTime(s),FuncCalls
1,18.193014, 500000000
2,16.119446, 269300741
3,14.981898, 177747319
4,15.703402, 137586940
5,14.820013, 106602408
6,15.531851, 88345427
7,14.249930, 95047734
8,13.598537, 82407138
9,13.015204, 80296890
10,12.611060, 79527060
11,11.806945, 71834196
12,11.083812, 73258773
